C2,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY
40452.96875,0.97066,1.37565,1.5821,0.74205,1.02325,0.9756,83.26
40452.97917,0.97196,1.37617,1.58255,0.74265,1.0213,0.9755,83.295
40452.98958,0.97093,1.37526,1.58265,0.7421,1.02135,0.9761,83.305
40455.25,0.97256,1.37794,1.58045,0.74385,1.01945,0.97557,83.325
40455.26042,0.97252,1.37867,1.58135,0.74345,1.01892,0.97525,83.385
40455.27083,0.97189,1.37783,1.5813,0.74345,1.0193,0.97595,83.36
40455.28125,0.97143,1.37754,1.5816,0.74365,1.02015,0.97615,83.34
40455.29167,0.97155,1.37745,1.5814,0.74335,1.0197,0.9762,83.295
40455.30208,0.97147,1.37758,1.5819,0.7432,1.01945,0.9757,83.365
40455.3125,0.97192,1.37792,1.5821,0.7435,1.01915,0.9754,83.365
40455.32292,0.97139,1.37751,1.58195,0.7429,1.01945,0.97555,83.34
40455.33333,0.97077,1.37605,1.58085,0.74285,1.0194,0.9757,83.36
40455.34375,0.96995,1.37562,1.58075,0.7424,1.02,0.97625,83.355
40455.35417,0.9704,1.37617,1.58105,0.74275,1.02015,0.976,83.33
40455.36458,0.96985,1.37515,1.5802,0.74235,1.02015,0.9767,83.39
40455.375,0.96977,1.37556,1.5804,0.74235,1.01955,0.9773,83.455
40455.38542,0.96991,1.3756,1.58065,0.74245,1.0199,0.97725,83.6
40455.39583,0.96926,1.37482,1.57905,0.7424,1.01995,0.97795,83.63
40455.40625,0.96958,1.37529,1.5792,0.7426,1.02025,0.97785,83.77
40455.41667,0.96956,1.37561,1.58015,0.7428,1.02035,0.97785,83.71
40455.42708,0.97042,1.37672,1.58065,0.7433,1.01985,0.97735,83.7
40455.4375,0.97032,1.37664,1.58035,0.74325,1.0196,0.9775,83.68
40455.44792,0.97027,1.37653,1.58015,0.7432,1.01965,0.97745,83.69
40455.45833,0.96997,1.37645,1.5802,0.7432,1.0188,0.97745,83.685
40455.46875,0.96977,1.37546,1.5792,0.7429,1.01925,0.9776,83.53
40455.47917,0.96984,1.37613,1.5806,0.743,1.0187,0.97755,83.55
40455.48958,0.96931,1.3759,1.58095,0.7425,1.0189,0.97745,83.55
40455.5,0.96934,1.37616,1.5813,0.7426,1.01838,0.9766,83.55
40455.51042,0.96919,1.37579,1.58085,0.7424,1.0189,0.97745,83.56
40455.52083,0.96948,1.37537,1.58085,0.7426,1.0188,0.97775,83.64
40455.53125,0.9694,1.3759,1.58095,0.7428,1.01895,0.97775,83.58
40455.54167,0.96909,1.37575,1.5808,0.74235,1.01905,0.97775,83.56
40455.55208,0.96883,1.37537,1.57995,0.7424,1.0191,0.97835,83.58
40455.5625,0.96889,1.37552,1.5793,0.74265,1.0193,0.9776,83.49
40455.57292,0.96974,1.37622,1.58015,0.7428,1.0188,0.9769,83.365
40455.58333,0.97017,1.37674,1.5789,0.74295,1.0187,0.97685,83.335
40455.59375,0.97037,1.37793,1.5796,0.743,1.01855,0.9769,83.315
40455.60417,0.96969,1.37637,1.58015,0.74315,1.0181,0.9766,83.315
40455.61458,0.96962,1.37613,1.5795,0.74345,1.01865,0.9773,83.38
40455.625,0.96757,1.37296,1.57605,0.7417,1.02065,0.9786,83.385
40455.63542,0.96815,1.37304,1.5765,0.7421,1.01995,0.9777,83.325
40455.64583,0.96824,1.37224,1.57755,0.74165,1.02095,0.97665,83.235
40455.65625,0.96832,1.37335,1.57925,0.74185,1.0207,0.9739,83.235
40455.66667,0.96699,1.37073,1.5782,0.74085,1.0217,0.975,83.24
40455.67708,0.96767,1.37056,1.57755,0.7417,1.0207,0.97505,83.295
40455.6875,0.96681,1.36858,1.57895,0.7418,1.02175,0.9762,83.205
40455.69792,0.96612,1.36789,1.5788,0.74085,1.02365,0.97695,83.235
40455.70833,0.96639,1.36875,1.57785,0.74075,1.02395,0.9759,83.22
40455.71875,0.96631,1.36819,1.5773,0.7399,1.02305,0.97495,83.26
40455.72917,0.96597,1.36711,1.5772,0.73955,1.02315,0.9728,83.23
40455.73958,0.96678,1.36834,1.5788,0.74025,1.0226,0.97325,83.27
40455.75,0.96676,1.36822,1.57895,0.7406,1.0223,0.9718,83.3
40455.76042,0.96761,1.36948,1.57985,0.7411,1.02195,0.9725,83.29
40455.77083,0.96761,1.36916,1.58255,0.74115,1.02195,0.97235,83.32
40455.78125,0.96726,1.36879,1.58265,0.7408,1.0219,0.97285,83.29
40455.79167,0.96889,1.37108,1.5838,0.7425,1.0207,0.97095,83.235
40455.80208,0.96914,1.37174,1.5835,0.7423,1.0208,0.9711,83.24
40455.8125,0.96839,1.37125,1.58395,0.74195,1.02125,0.97175,83.265
40455.82292,0.96909,1.37046,1.58355,0.7425,1.02095,0.9729,83.31
40455.83333,0.96824,1.3703,1.5832,0.7425,1.02135,0.9724,83.25
40455.84375,0.96764,1.37018,1.5825,0.7417,1.023,0.9735,83.245
40455.85417,0.96834,1.37085,1.5848,0.74215,1.0222,0.97445,83.265
40455.86458,0.96714,1.36866,1.58385,0.7407,1.02265,0.97465,83.315
40455.875,0.96905,1.37054,1.58495,0.742,1.0208,0.97425,83.37
40455.88542,0.96922,1.37003,1.5847,0.7424,1.02115,0.9745,83.34
40455.89583,0.96988,1.37102,1.586,0.74285,1.0208,0.9747,83.32
40455.90625,0.96903,1.37041,1.5861,0.7422,1.02145,0.97365,83.295
40455.91667,0.96886,1.37036,1.5858,0.74185,1.02165,0.97425,83.335
40455.92708,0.96872,1.37017,1.58555,0.7418,1.02165,0.9736,83.35
40455.9375,0.96806,1.36893,1.58445,0.74135,1.02205,0.97365,83.37
40455.94792,0.96731,1.36816,1.5839,0.74115,1.02205,0.97305,83.4
40455.95833,0.96723,1.36878,1.58325,0.74145,1.023,0.97305,83.36
40455.96875,0.9676,1.36907,1.5841,0.742,1.02295,0.97275,83.335
40455.97917,0.96776,1.36934,1.5852,0.74215,1.02295,0.97235,83.34
